Nama Kelompok,Nama komoditi,Tahun,Masukan,Keluaran,Impor,Ekpor,Perubahan stok,Pakan,Bibit,Makanan,Bukan makanan,Tercecer,Penggunaan lain,Bahan makanan,Kg tahun,Gram hari,Kalori hari,Protein hari,Lemak hari,Status angka,Kd uraian,Create at
Makanan berpati,Ubi Kayu/Tapioka,1998,421,118,82,122,0,0,0,0,78,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,1999,703,197,8,107,0,0,0,0,98,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2000,1014,284,206,10,0,0,0,0,481,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2001,1331,373,66,33,0,0,0,0,406,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2002,6977,1954,26,21,-45,0,0,0,357,14,,1633,7.74,21.2,77,0.11,0.06,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2003,2169.93,607.82,188.09,5.76,-18.1,0,0,0,143.87,5.74,,658.65,3.08,8.44,31,0.04,0.03,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2004,5047,1414,56,187,-29,0,0,0,234,9,,1070,4.94,13.54,49,0.07,0.04,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2005,4727,1324,103,72,0,0,0,0,241,10,,1104,5.02,13.76,50,0.07,0.04,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2006,1330,372,309,4,0,0,0,0,121,5,,553,2.48,6.8,25,0.03,0.02,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2007,10000,3902,308,24,0,0,0,0,745,30,,3411,15.12,41.41,150,0.21,0.12,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2008,10000,3756,158,40,0,0,0,0,690,28,,3158,13.82,37.86,137,0.19,0.11,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2009,10000,3682,167,15,0,0,0,0,682,27,,3124,13.33,36.51,132,0.18,0.11,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2010,10000,3016,295,28,0,0,0,0,584.4,23,,2675.4,11.22,30.73,111,0.15,0.09,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2011,6432,1802,435.46,96.81,0,0,0,0,381,15,,1744,7.21,19.75,71,0.1,0.06,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2012,10000,3091,758,12,0,0,0,0,683,27,,3127,12.74,34.91,126,0.17,0.1,1,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Tapioka,2013,10000,3663,213,39,0,0,0,0,683,27,,3127,12.57,34.43,125,0.17,0.1,2,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,1993,0,2088,0,8,0,42,0,0,0,208,,1830,9.76,26.73,28,0.41,0.16,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,1994,0,1845,0,4,0,37,0,0,0,184,,1620,8.5,23.29,25,0.36,0.14,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,1995,0,2171,0,5,0,43,0,0,0,217,,1906,9.85,26.99,29,0.42,0.16,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,1996,0,2018,0,3,0,40,0,0,0,202,,1773,9.01,24.68,26,0.38,0.15,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,1997,0,1847,0,10,0,0,0,0,0,184,,1616,8.09,22.16,23,0.34,0.13,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,1998,0,1935,0,6,0,39,0,0,0,193,,1697,8.36,22.92,29,0.27,0.08,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,1999,0,1666,0,7,0,33,0,0,0,166,,1460,7.2,19.72,25,0.23,0.07,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2000,0,1828,0,0,0,37,0,0,0,183,,1609,7.81,21.41,27,0.25,0.08,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2001,0,1749,0,8,0,35,0,0,0,174,,1532,7.35,20.14,25,0.24,0.07,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2002,0,1772,0,13,25,35,0,0,11,173,,1514,7.17,19.65,25,0.23,0.07,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2003,0,1991.48,0,10.64,27.93,39.06,0,0,12.89,195.29,,1705.67,7.98,21.87,27,0.26,0.08,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2004,0,1902,0,12,27,37,0,0,12,186,,1627,7.52,20.61,26,0.24,0.07,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2005,0,1857,0,11,0,37,0,0,12,185,,1612,7.33,20.09,25,0.24,0.07,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2006,0,1854,1,11,0,37,0,0,5,184,,1618,7.26,19.9,25,0.23,0.07,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2007,0,1887,0,8,0,38,0,0,5,188,,1648,7.31,20.02,25,0.23,0.07,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2008,0,1882,0,8,0,37,0,0,0,187,,1649,7.21,19.76,25,0.23,0.07,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2009,0,2058,0,7,0,41,0,0,0,205,,1805,7.7,21.09,26,0.25,0.08,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2010,0,2051,0,7,0,41,0,0,0,204,,1799,7.54,20.66,26,0.24,0.07,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2011,0,2196,0,7,0,44,0,0,0,219,,1926,7.96,21.81,23,0.22,0.62,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2012,0,2483,0,10,0,49,0,0,0,247,,2177,8.87,24.3,26,0.25,0.7,1,,04/01/2023 - 08:59
Makanan berpati,Ubi Jalar,2013,0,2366,0,8,0,47,0,0,0,236,,2075,8.34,22.85,25,0.23,0.65,2,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,1993,0,10000,0,0,0,346,0,3959,0,2247,,10000,57.21,156.75,172,1.41,0.35,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,1994,0,10000,0,0,0,315,0,3486,0,2045,,9883,51.83,142,155,1.28,0.32,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,1995,0,10000,0,0,0,309,0,2784,0,2007,,10000,53.45,146.43,160,1.32,0.33,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,1996,0,10000,0,0,0,340,0,2293,0,2210,,10000,61.78,169.26,185,1.52,0.38,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,1997,0,10000,0,0,0,303,0,831,0,1967,,10000,60.21,164.97,181,1.48,0.37,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,1998,0,10000,0,0,0,294,0,1038,0,1910,,10000,56.46,154.68,202,1.31,0.39,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,1999,0,10000,0,0,0,329,0,1471,0,2140,,10000,61.72,169.11,221,1.44,0.43,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2000,0,10000,0,0,0,322,0,1521,0,2092,,10000,59.05,161.78,212,1.38,0.41,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2001,0,10000,0,0,0,341,0,2006,0,2217,,10000,59.92,164.17,215,1.4,0.42,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2002,0,10000,0,0,-129,341,0,7578,1293,363,,7466,35.37,96.91,127,0.82,0.25,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2003,0,10000,0,0,-140.78,373.29,0,2267.32,1416.64,397.56,,10000,66.49,182.16,238,1.55,0.46,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2004,0,10000,0,0,-148,391,0,6360,1486,417,,10000,50.46,138.24,181,1.18,0.35,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2005,0,10000,0,0,0,386,0,6046,1466,412,,10000,50.08,137.21,180,1.17,0.35,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2006,0,10000,0,0,0,400,0,3094,1517,426,,10000,65.32,178.97,234,1.52,0.46,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2007,0,10000,0,0,0,400,0,10000,0,426,,4007,17.76,48.65,64,0.41,0.12,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2008,0,10000,0,0,0,435,0,10000,0,463,,5572,24.38,66.8,87,0.06,0.17,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2009,0,10000,0,0,0,441,0,10000,0,469,,6576,28.05,76.86,101,0.65,0.2,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2010,0,10000,0,0,0,478.3,0,10000,0,509.46,,10000,44.86,122.89,161,1.04,0.31,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2011,0,10000,0,0,0,481,0,6747,0,512,,10000,67.37,184.58,181,1.18,0.36,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2012,0,10000,0,0,0,484,0,10000,0,515,,10000,45.96,125.93,124,0.8,0.25,1,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu,2013,0,10000,0,0,0,510,0,10000,0,543,,10000,42.21,115.64,114,0.74,0.23,2,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Gaplek,1993,2235,804,0,527,0,0,0,0,277,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Gaplek,1994,2811,1011,0,387,0,0,0,0,624,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Gaplek,1995,2127,765,0,428,0,0,0,0,337,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Gaplek,1996,1590,572,0,295,0,0,0,0,277,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
Makanan berpati,Ubi Kayu/Gaplek,1997,731,263,0,188,0,0,0,0,75,0,,0,0,0,0,0,0,0,,04/01/2023 - 08:59
