tahun,bulan,kode_kelompok,nama_kelompok,kode_komoditi,nama_komoditi,kalori_kap_perhari,protein_kap_perhari,lemak_kap_perhari
1993,3,06,Sayur-sayuran,0607,"Daun Singkong",0.001186726246575342,0.000061709764821918,0.000009493809972603
1993,3,06,Sayur-sayuran,0608,Terong,0.000622665006164384,0.000024906600246575,0.000004981320049315
1993,3,06,Sayur-sayuran,0609,Pare,0.001733499377013699,0.000101970551589041,0.000020394110317808
1993,3,06,Sayur-sayuran,0610,Labu,0.000845652332876712,0.000032525089726027,0.000003252508972603
1993,3,06,Sayur-sayuran,0611,Kemangi,0.001304080286794520,0.000164427514421918,0.000022679657161644
1993,3,06,Sayur-sayuran,0612,Seledri,0.000604058310493151,0.000095377627972603,0.000006358508531507
1993,3,06,Sayur-sayuran,0613,Selada,0.000397773056712329,0.000037125485293151,0.000005303640756164
1993,3,06,Sayur-sayuran,0614,Sawi,0.000157937147123288,0.000014357922465753,0.000001435792246575
1993,3,06,Sayur-sayuran,0615,Jamur,0.000412570507287671,0.000058134935117808,0.000005625961463014
1993,3,06,Sayur-sayuran,0616,Kentang,0.001951651891863013,0.000050692256931507,0.000002534612846575
1993,3,06,Sayur-sayuran,0617,"Bawang Merah",0.000492271627397260,0.000013537469753425,0.000001230679068493
1993,3,06,Sayur-sayuran,0618,"Bawang Putih",0.001790052007589040,0.000076888139923288,0.000006006885931507
1993,3,06,Sayur-sayuran,0619,Jahe,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,3,06,Sayur-sayuran,0620,Kunyit,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,3,06,Sayur-sayuran,0621,Lengkuas,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,3,06,Sayur-sayuran,0622,Kencur,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,3,06,Sayur-sayuran,0623,Cabai,0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,3,06,Sayur-sayuran,0624,"Daun Bawang",0.000000000000000000,0.000000000000000000,0.000000000000000000
1993,3,07,Daging,0701,"Daging Sapi",0.007838253602739725,0.000589436670926027,0.000595707273808219
1993,3,07,Daging,0702,"Daging Ayam Buras",0.000701047538219177,0.000089224232136986,0.000033990183671233
1993,3,07,Daging,0703,"Daging Kambing",0.000879935533972602,0.000126759944054794,0.000036920372054795
1993,3,07,Daging,0704,"Daging Kerbau",0.000354552777534247,0.000064464141369863,0.000008058017671233
1993,3,07,Daging,0705,"Daging Domba",0.000028276313671232,0.000006153394684931,0.000000219764095890
1993,3,07,Daging,0706,"Daging Kuda",0.001697018532904109,0.000347974507252055,0.000023998241879452
